content,contentTranslation,languageInEnglish,preprocessed
Est res INCOSID,The matter is in ...,Latin,est res incosid
"((:circulus duplex)) IIIII
XX
XX
X",5 20 20 10,Latin,"circulus duplex iiiii, xx, xx, x"
"Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus)
Singa (:singula) III 
Panem III &#12296;:vacat&#12297; LI (assibus)
Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus)
Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus)","nuts, drinks(?) - 14 (small coins, probably - this number appears to be the price);
pork rinds - 3;
three (loaves of) bread - 51; 
three cutlets - 12;
four thyme-flavored sausages - 8",Latin,"nuces biberes xiiii assibus, singula iii , panem iii li assibus, ofellas iii xii assibus, thymatula iiii viii assibus"
((:phallus)),,Latin,phallus
[---]bius,Vibius?,Latin,danubius
"IIIIIIIIIIIIIIIII
&#12296;:vacat&#12297; III",17 and 3,Latin,"iiiiiiiiiiiiiiiii, iii"
Cosmus cas(tus?),Chaste(?) Cosmus.,Latin,cosmus castus
PAPAVLIN,Paulin(us?),Latin,papavlin
L(uci) Acti va(le).  Mystice  mus comici Icui &#12296;:vacat&#12297; pro &#12296;:vacat&#12297; te fuimus.,"Lucius Actius, farewell. Mysticus, mus(ician), (slave?) of the comedian Icuus...we were for you. (trans. Cooley and Cooley)",Latin,luci acti vale. mystice mus comici icui pro te fuimus.
"Vin(icius?)
Florus
Paris
C(aius) Messenius","Vin(icius?), Florus, Paris, Gaius Messenius",Latin,"vinicius, florus, paris, caius messenius"
Himnu&#770;s (:Hymnus),Himnus,Latin,himnûhymnus
Quatuor (:quattuor) cer[---],Four (...),Latin,quattuor cer.
"Spedio Antymo [- - -]
[redi?]bis e Pompeian[o]
a Colono sa&#803;(lutem?) 
est augusta&#818;l&#818;[is]",To Spedius Antymus (... other letters here...) from Colonus (... other letters here...),Latin,"spedio antymo est, redibis e pompeiano, a colono sạlutem , est augusta̲l̲is"
Lagunas (:lagoenas),Flasks,Latin,lagoenas
Rufûla p(ondo?) V s(emis?),"Rufula, 5 1/2 pounds",Latin,rufûla pondo v semis
"Caves, Timinia,
Iures","Beware, Timinia: thieves!",Latin,"caves, timinia,, iures"
IIIIIIIIIIIIIIIIII,18,Latin,iiiiiiiiiiiiiiiiii
"((:gladiatores inter se dimicantes))
Euhodus
et Satura 
Puteolani",,Latin,"gladiatores inter se dimicantes, euhodus, et satura , puteolani"
[---]gius a Tertio S,[---]gius says hello to Aulus Tertius. Hello!,Latin,elogius a tertio s
Ani&#803;ciae&#803; f&#818;e&#818;l&#818;i&#818;c&#818;i&#818;t&#818;e&#818;r&#818;,May things go happily for Anicia.,Latin,anịciaẹ f̲e̲l̲i̲c̲i̲t̲e̲r̲
"[deli?]ciae
[---]si tangere possem
[---]entur aquas",my darling (...) if I were able to touch (passive verb here...) waters,Latin,"deliciae, quassi tangere possem, mutarentur aquas"
"[--- acce]pit Secundus Crusali ser(vus?)
et Valentina ((:phallus))","Secundus, the slave of Crusalus(?), along with Valentina, received (...?)",Latin," accepit secundus crusali servus, et valentina phallus"
David,David,Latin,david
Cum quidam pauper ligas VI[- - -] NQ,When a certain poor man...,Latin,cum quidam pauper ligas vi. nq
M&#818;O&#818;E&#818;&#390;CIA C&#818;C&#818;,(untranslateable series of characters),Latin,m̲o̲e̲ɔcia c̲c̲
Salar[ius] glabe (:glaber) RVSIVNNAE Lavinia (:Laviniam) futui,Bald Sala(rius?)... Lavinia...,Latin,salarius glaber rvsivnnae laviniam futui
"Ex se[na]tu (:senatus) con= 
sul[to] VVCA
[---]E ICA
m&#770;ansi solus","By decree of the senate (... other letters here...), I remained alone",Latin,"ex senasenatus con= , sulto vvca, ve ica, m̂ansi solus"
Burr&#803;[us] &#12296;:vacat&#12297; p&#803;edad (:petat) H,Burr(us) seeks (?),Latin,burṛus p̣petat h
"Masueta (:Mansueta)
tene ((:phallus))","Mansueta, hold (on/it?)",Latin,"mansueta, tene phallus"
