content,contentTranslation,languageInEnglish,preprocessed
"T[--?]U for&#803;mosus TUNCAS
CARIS (:Paris?) ISSF (:isse?) [---] TIII'TF_NTRIQ (:Septentrio?)
&#12296;:vacat&#12297; N [---] ICI [---] IAAIS (:Paris?) issus
Postima
Caius","(damage here...) handsome (tun(i)cs? or other text?)... 
Paris himself (other letters here...) Septentrio(?) 
(damage and other letters here) ...Paris(?) himself
Postima
Gaius",Latin,"tu foṛmosus tuncas, paris isse , tiii'septentrio, n ' ici , paris issus, postima, caius"
"MI VII IV VII VIII
X V X VII VI XI V
VII [---] III VII VI IX IIX VIIM","1001 (Or) M 1 7 4 7 8
10 5 10 7 6 11 5 
7 3 7 6 9 7 M",Latin,"mi vii iv vii viii, x v x vii vi xi v, vii ii iii vii vi ix iix viim"
"Propero vale mea Sava
fac me ames","I am hurrying. Farewell, my sweetie(?). See to it that you love me.",Latin,"propero vale mea sava, fac me ames"
"&#12296;:in forma tabellae ansatae&#12297;
Antonius",Antonius,Latin,", antonius"
"GAVDAN
rogo te","GAUDAN (a nickname?), I ask you",Latin,"gavdan, rogo te"
E A R S T (?),,Latin,e a r s t 
Das&#803;ius,Dasius 1,Latin,daṣius
Victorie,,Latin,victorie
E&#818;I&#818;ACIA++CV&#803;[+4?+]+&#818;+&#818; qui esse&#818; A&#818;P&#818;S&#818;O&#818;I&#818;V&#818;A&#818;S&#818;C&#818;R&#818;I&#818;O&#818; c&#818;ur &#12296;:vacat&#12297; X&#818;X&#818;X&#818;,(incomprehensible series of letters) who to be (incomprehensible series of letters) why 30,Latin,e̲i̲aciacṿ4̲̲ qui esse̲ a̲p̲s̲o̲i̲v̲a̲s̲c̲r̲i̲o̲ c̲ur x̲x̲x̲
"C(aius) Alleius Astraga[l]us
&#12296;:vacat&#12297; curator
fuit I&#803;V Non(is) D&#803;e&#803;c&#803;(embres) usce (:usque) ad
V&#803;I E&#803;id(us) De&#803;c(embres) M(arco) Agrip(pa) T&#803;(ito) Stat(ilio) Co(n)s(ulibus)
CE+RIA C(aii) Iuli Heleni turma
C(aii) Iuli Hilari","Gaius Alleius Astragalus was supervisor from 4 days before the Nones of December until 6 days before the Ides of December, in the yearMarcus Agrippa and Titus Statilius were consuls (incomprehensible series of letters) the squadron of Gaius Julius Helenus (and?) Gaius Julius Hilarus",Latin,"caius alleius astragalus, curator, fuit ịv nonis ḍẹc̣embres usque ad, ṿi ẹidus dẹcembres marco agrippa ṭito statilio consulibus, ceria caii iuli heleni turma, caii iuli hilari"
L(ucius) Postumius L&#803;(uci) [- - -],Lucius Postumius (…?) of Lucius,Latin,lucius postumius ḷuci .
"Sabine calos (:&#954;&#945;&#955;&#972;&#962;) Hermeros te amat ((:palma))
Sabine calos  HIIRMIROIITEAMATA ((:palma))",,Latin/Greek,"sabine calos καλός hermeros te amat palma, sabine calos hiirmiroiiteamata palma"
"a(nte) d(iem) XI K(alendas) Dec(embres) Geryones
trimembres aerus (:aeris) senos
comperendinarunt (:comperendinaverunt)",11 days before the Kalends of December three-bodied Geryon claimed (?) six asses,Latin,"ante diem xi kalendas decembres geryones, trimembres aeris senos, comperendinaverunt"
non aug,,Latin,non aug
"+N&#803;+DVS
ID[-]D PDICAP[-&#818;]+&#818;
VET&#803;R+&#818;+&#818; pagani&#818;s&#818;
maldixi (:maledixi) te testifico&#818;",(incomprehensible series of letters) I cursed the villagers. I call you as a witness.,Latin,"ṇdvs, idd pdicap̲̲, veṭr̲̲ pagani̲s̲, maledixi te testifico̲"
POM&#923;,(Beginning of word),Latin,pomλ
SIIIQBIIIIRI,,Latin,siiiqbiiiiri
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
Florus,,Latin,florus
Cosmus,,Latin,cosmus
((centuria)) Aebuti,The century (unit) of Aebutius,Latin,centuria aebuti
"&#12296;:ad perpendiculum&#12297;
+OT",?OT,Latin,", ot"
Habitus,,Latin,habitus
"Alban&#7909;[s] a(ssem) I
&#7840;lbanus a(ssem) I
[A]&#7735;banus a(ssem) I
A[lb]anus a(sses) II
Agath&#7865;[m]er(us) a(sses) II
Acathe&#7747;&#7865;r(us) (:Agathemerus) a(ssem) I
Acanthus","Albanus - 1 as (small coin), Albanus - 1 as, Albanus - 1 as, Albanus - 1 as, Agathemerus - 2 asses (coins), Agathemerus - 1 as, Acanthus",Latin,"albanụs assem i, ạlbanus assem i, aḷbanus assem i, albanus asses ii, agathẹmerus asses ii, acatheṃẹrus agathemerus assem i, acanthus"
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
"pane(m) a(ssibus) II
purm(entarium) a(ssibus) III
oleum a(sse) I
OXC a(ssibus) IIII
vinum a(sse) s(emis)
casium (:caseum) a(sse) s(emis)
OM+ a(ssibus) IIII
vinum a(sse) s(emis)
XI K(alendas) ac(ce)pi ((denarium)) I
vinum a(sse) I
porcin(am) a(sse) I
VIINVM (:vinum) a(sse) s(emis)
casiûm (:caseum) a(sse) s(emis)
L(ucius) Gavi+ IIII s(emis) 
vinum a(sse) s(emis)
carn(em) a(sse) I
vin[u]m a(sse) I","Bread - 2 asses (small coins), porridge - 3 asses, oil - 1 as, OXC - 4 asses, wine - 1/2 as, cheese - 1/2 as, OM+ - 4 asses, wine - 1/2 as. 11 days before the Kalends I received 1 denarius (large coin). Wine - 1 as, pork (cutlet?) - 1 as, wine - 1/2 as, cheese - 1/2 as. Lucius Gavius - 4 1/2. Wine - 1/2 as, meat - 1 as, wine - 1 as.",Latin,"panem assibus ii, purmentarium assibus iii, oleum asse i, oxc assibus iiii, vinum asse semis, caseum asse semis, om assibus iiii, vinum asse semis, xi kalendas accepi denarium i, vinum asse i, porcinam asse i, vinum asse semis, caseum asse semis, lucius gavi iiii semis , vinum asse semis, carnem asse i, vinum asse i"
Maximu&#803;[s],,Latin,maximụs
T&#770;îb&#770;er,Tiber?,Latin,t̂îb̂er
"D
D
X X","500, 500, 20",Latin,"d, d, x x"
Marim,,Latin,marim
((centuria)) Valentis,The century (unit) of Valens,Latin,centuria valentis
Prima,Prima,Latin,prima
"Nonnius


",Nonnius,Latin,"nonnius, , , "
"Eo
v&#770;a(le)
Chloe","Hey- bye, Chloe!",Latin,"eo, v̂ale, chloe"
Aptus,Aptus,Latin,aptus
((centuria)) Luccei,The century (unit) of Lucceius,Latin,centuria luccei
"&#12296;:ad perpendiculum&#12297;
AB",,Latin,", ab"
"&#12296;:columna I, stria 4&#12297;
Leon
Leon
Leon

&#12296;:columna II, stria 5&#12297;
L&#818;e&#818;o&#818;n&#818;","Leon, Leon, Leon, Leon",Latin,", leon, leon, leon, , , l̲e̲o̲n̲"
Lepidi,Of Lepidus,Latin,lepidi
Uxsor (:Uxor),Wife,Latin,uxor
"BE
SAG&#818;",(Incomprehensible series of letters),Latin,"be, sag̲"
Felix,Felix,Latin,felix
Si pudor quis,If (there is) any modesty . . .,Latin,si pudor quis
Postumi ((quinque centum)),Postumius' - 500,Latin,postumi quinque centum
"Sec+dus 
Secu+","Secundus?, Secu(ndus?)",Latin,"secdus , secu"
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
"[D]ic mihi
[Dam]oeta&#803;",,Latin,"dic mihi, damoetạ"
Cauda,Tail,Latin,cauda
"Neptunus
((:nomen NEPTVNUS in forma navis scriptum))
",,Latin,"neptunus, nomen neptvnus in forma navis scriptum, "
P&#803;aris &#7807;a(le),"Bye, Paris",Latin,p̣aris ṿale
STI puela (:puella) M&#770;ula,(...other letters here...) girl Mula,Latin,sti puella m̂ula
Marcus,,Latin,marcus
"Primigenia 
cum Prima 
hic",Primigenia was here with Prima.,Latin,"primigenia , cum prima , hic"
"P&#803;rima

Q
Q
Q","Prima . . . Q, Q, Q",Latin,"p̣rima, , q, q, q"
Venus Venus,,Latin,venus venus
Lib(eralis),Lib(eralis),Latin,liberalis
Ve++ios,(Incomprehensible series of letters),Latin,veios
&#12296;:textus non legitur&#12297;,(Incomprehenisible series of characters),Latin,
Novi,,Latin,novi
C F&#770; I,C F I,Latin,c f̂ i
Hellespontus,,Latin,hellespontus
IIIIIIII,8,Latin,iiiiiiii
IIIIIIII,,Latin,iiiiiiii
Bromius,,Latin,bromius
vadavo,,Latin,vadavo
Prima,,Latin,prima
&#917;&#803;&#933;&#803;Y&#803;ROIVI&#923;C,(incomprehensible series of characters),Latin/Greek,ε̣υ̣ỵroiviλc
XVS  XVS,,Latin,xvs xvs
Trebenius,,Latin,trebenius
"Celer[i]=
na Spuri f(ilia)
S&#7865;[l]inunti",,Latin,"celeri=, na spuri filia, sẹlinunti"
Successa,Successa,Latin,successa
BACTEICIEO,,Latin,bacteicieo
IIIIIIIIIII,,Latin,iiiiiiiiiii
quin,,Latin,quin
Iulium &#921;(---?),,Latin,iulium ι
L(ucius) CORVRICON,Lucius CORVRICON (name not otherwise known),Latin,lucius corvricon
Phoebus,,Latin,phoebus
Latinus,,Latin,latinus
nox,night,Latin,nox
OBR,OBR,Latin,obr
TI CAADI,,Latin,ti caadi
IIIIIIIIII,10,Latin,iiiiiiiiii
[-]ic Roma,Rome (here?),Latin,ic roma
emis CC K(?),You buy (for the amount of?) 200 coins (?),Latin,emis cc k
IIIIIIIIIIIIIII,15,Latin,iiiiiiiiiiiiiii
Soles&#803;,,Latin,soleṣ
"C(aius?) Sei&#803;[- - -]
Odem[- - -]",,Latin,"caius seịfilius, odem."
Evanthus,Euanthus,Latin,evanthus
LXIIII,64,Latin,lxiiii
X,10,Latin,x
IIIIIIIIIII,11,Latin,iiiiiiiiiii
Leon,Leon,Latin,leon
"&#12296;:columna I=stria 17&#12297;
A
MM
&#12296;:vacat&#12297;
M
M
Mopsus

&#12296;:columna II=stria 20&#12297;
KRVS
V&#770;a(le)","(individual letters), Mopsus, (series of letters), bye!",Latin,", a, mm, , m, m, mopsus, , , krvs, v̂ale"
"Vesbin(us) Vesbinus
",,Latin,"vesbinus vesbinus, "
IIIIII,6,Latin,iiiiii
"A(ssibus) VIII
Stabuli",8 asses (coins) for use of stables.,Latin,"assibus viii, stabuli"
"D D D
D D D",?,Latin,"d d d, d d d"
IIII,4,Latin,iiii
II II II,6,Latin,ii ii ii
Galerii,The Galerii (or 'of Galerius'),Latin,galerii
X,10,Latin,x
XIIII,14,Latin,xiiii
pascela,Pascela (?),Latin,pascela
"&#12296;:stria 6&#12297;
Q 
S
S

&#12296;:stria 7&#12297;
QII
SSS",(Individual letters),Latin,", q , s, s, , , qii, sss"
Narcissus,,Latin,narcissus
Lucius,Lucius,Latin,lucius
Telesius,Telesius,Latin,telesius
Ianuarius,Ianuarius,Latin,ianuarius
Venerandus,Venerandus,Latin,venerandus
"Felix V
&#390; C",,Latin,"felix v, ɔ c"
"Sa=
lve",Hello!,Latin,"sa=, lve"
Seci&#7885;lo,(name?),Latin,seciọlo
IIIIIIIII,9,Latin,iiiiiiiii
M(arcum) Sindium,,Latin,marcum sindium
II,2,Latin,ii
Faustus,Faustus,Latin,faustus
Fau&#803;s&#803;tus TR,Faustus (incomprehensible series of letters),Latin,faụṣtus tr
"Mortus (:mortuus)
Glo+ru&#803;s&#803;
posteru Nonas (:postridie Nonas)",,Latin,"mortuus, glorụṣ, posteru nonas postridie nonas"
fututa sum hic,,Latin,fututa sum hic
Successu&#803;s&#803;,,Latin,successụṣ
"Lucmo (:Lucumo)
quis CCC+
&#12296;:vacat&#12297; S","Lucumo
who 300[-] (?)",Latin,"lucumo, quis ccc, s"
"I&#773;I&#773;vir (:duovir)
erat",,Latin,"i̅i̅duovir, erat"
Quartio(?),,Latin,quartio
RV7I (:Rufi?),Of Rufus(?),Latin,rufi
"Ianuari,
ligis (:lingis) [m]entula (:mentulam).",,Latin,"ianuari,, lingis mmentulam."
"P(ublius) Sitti&#7909;s
APPA V",Publius Sittius (...other letters here...),Latin,"publius sittiụs, appa v"
Anatolii,of Anatolius(?),Latin,anatolii
Nicephor,Nicephor,Latin,nicephor
XIIX k(alendas) Iulia(s),,Latin,xiix kalendas iulias
Eat  t&#770;h,(Incomprehensible series of characters),Latin,eat t̂h
Mnester v&#770;a(le),,Latin,mnester v̂ale
Epaphra,Epaphra,Latin,epaphra
CELA,Hide!,Latin,cela
Res&#803;,Things,Latin,reṣ
ANA ((:caput hominis)),ANA,Latin,ana caput hominis
Cera,Wax,Latin,cera
Phrastes,Phrastes,Latin,phrastes
Fora,Forums,Latin,fora
SIR,,Latin,sir
"M(arcus) X Felix et Fortun(a)tus ego et tu
sua",,Latin,"marcus x felix et fortunatus ego et tu, sua"
va(le) Quartilla,"Bye, Quartilla",Latin,vale quartilla
ICYLI,(Series of letters),Latin,icyli
&#7746;&#7841;rcius Atimetys (:Atimetus),Marcius Atimetus,Latin,ṃạrcius atimetus
"IIIIIIIIIIIIIIII
IIIIIIIIIIII IIIIIII
IIIIIIIII II IIIIIIII
IIIII IIIIIII","14, 4
18
12, 9
5, 9",Latin,"iiiiiiiiiiiiiiii, iiiiiiiiiiii iiiiiii, iiiiiiiii ii iiiiiiii, iiiii iiiiiii"
"C t C F
C C",(Unknown),Latin,"c t c f, c c"
Mebi venio,"Mebius (?), I'm coming.",Latin,mebi venio
futui,,Latin,futui
C(aius) Ovi&#818;us,Gaius Ovius,Latin,caius ovi̲us
"Surre(n)tinas 
Surrentinas 
((:verba Surrentinas scripta in forma duae navium))
((:caput hominis))",,Latin,"surrentinas , surrentinas , verba surrentinas scripta in forma duae navium, caput hominis"
&#923;VCVLVS,??,Latin,λvcvlvs
Marcus,,Latin,marcus
Qui(s)quis,,Latin,quisquis
"Habito suo&#803; sal(utem), sal(utem).",,Latin,"habito suọ salutem, salutem."
"Pac&#7841;[tus?]
Pom[peia]nis (salutem?)",,Latin,"pacạtus, pompeianis salutem"
"IIas (:Ias) cum Ma=
gno ubique",,Latin,"ias cum ma=, gno ubique"
"MO ((:phallus)) A
S&#7734;",,Latin,"mo phallus a, sḷ"
"&#12296;:ad perpendiculum&#12297;
&#12296;:textus non legitur&#12297;
",,Latin,", , "
"((:phalli figura))
Iarinus",,Latin,"phalli figura, iarinus"
Ianuaria,,Latin,ianuaria
[---?] omnib(us),,Latin,in omnibus
Callìd&#7771;ome v&#770;a(le),,Latin,callìdṛome v̂ale
"Capella, va(le)
((:palmae ramus))
((:palm branch))",,Latin,"capella, vale, palmae ramus, palm branch"
Pirrichus (:Pyrrichus) est M[- - -]i &#12296;:servus&#12297; nec [tamen]+,,Latin,pyrrichus est m.i nec tamen
"IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
IIIIIIIIIIIIIIIIIIIIIIIIIIIIII &#12296;:vacat&#12297; IIIIIIIIIIIIIIII
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII",,Latin,"iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiii iiiiiiiiiiiiiiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii"
C(aius) Concessu[s],Gaius Concessus or having been permitted,Latin,caius concessus
"Communis
Clo&#803;[d]i&#803;a sua
dom (:domina)","Communis (and?) Clodia, his mistress (girlfriend or owner)",Latin,"communis, clọdịa sua, domina"
Paris v&#770;a(le),"Bye, Paris",Latin,paris v̂ale
C(aii) Asixi (:Asini?) Proculi,of Gaius Asinius Proculus,Latin,caii asini proculi
"IIX Id(ibus) Iulias axungia (:axungiam) p(ondo) CC
aliu (:alium) manuplos (:manipulos) CCL",Eight days before the Ides of July (=July 8th):  200 pounds of grease (lard?) and 250 bunches of garlic (?),Latin,"iix idibus iulias axungiam pondo cc, alium manipulos ccl"
A&#770;B R M&#770;R,,Latin,âb r m̂r
((:homo galeatus)),,Latin,homo galeatus
"Curiosus Vitalio
S A B","Vitalio is curious
 Sabinio(?)",Latin,"curiosus vitalio, s a b"
"Felicio
Verus 
VIIII","Felicio, Verus, 9",Latin,"felicio, verus , viiii"
"Quartila (:Quartilla)
Fuficia
tu+eriti co
filia","Quartilla Fuficia, (???) daughter",Latin,"quartilla, fuficia, tueriti co, filia"
Rom&#770;a&#770;n&#770;u&#770;s,,Latin,rom̂ân̂ûs
N+++++++ Fronto,??? Fronto,Latin,n fronto
S[+1+]i&#768;vestrum (:Silvestrum),Silvestrum,Latin,s1ìsilvestrum
III K(alendas) Mart(is),3 days before the Kalends of March (=Feb. 27th),Latin,iii kalendas martis
"Felix
bene futues",,Latin,"felix, bene futues"
"Arruntius
XXVII
A(ssibus?)",Arruntius 27 asses (coins),Latin,"arruntius, xxvii, assibus"
&#12296;:textus non legitur&#12297;,(Incomprehensible series of letters),Latin,
L(uci) Pomponi,"Oh, Lucius Pomponius",Latin,luci pomponi
Vesbine copo (:caupo) va(le),,Latin,vesbine caupo vale
NO&#12296;:vacat&#12297;NI,(Series of letters),Latin,noni
"Dea nolo cenam v(e)nde(re)
chirograp(h)um s",,Latin,"dea nolo cenam vendere, chirographum s"
"Datu (:Datur?)
TYRANOPANEVM+",(Bread fit for a king?) is being given,Latin,"datur, tyranopanevm"
CC CI CDIC++,(Numerals or scribbles?),Latin,cc ci cdic
"qui modo mo[- - -]
erminuca",,Latin,"qui modo moest, erminuca"
MINI,Mini(us?),Latin,mini
MSNI&#803;S&#803;,(Incomprehensible series of letters),Latin,msnịṣ
Clodiae,,Latin,clodiae
N&#770;E,,Latin,n̂e
"&#12296;:pars I&#12297;
S
&#12296;:vacat&#12297;
&#916;

&#12296;:pars II&#12297;
rotas
opera 
tenet
arepo
sator

&#12296;:pars III&#12297;
A N O","(Five words that can be read horizontally or vertically, backward and forward)",Latin,", s, , δ, , , rotas, opera , tenet, arepo, sator, , , a n o"
Noct(---?),,Latin,noct
"Lucilius 
Lucidae suae 
ubique sal(utem)",Lucilius greets his Lucida everywhere,Latin,"lucilius , lucidae suae , ubique salutem"
IIIIIIIIIIIIIIIIIIIII IIIIIIIIIIIII,"20, 12",Latin,iiiiiiiiiiiiiiiiiiiii iiiiiiiiiiiii
quos L(---) V(---) P(---) amat valeant,May those whom L(ucius) V(---) P(---) loves be well. (N.B. This is a personalized version of a well-known poem.),Latin,quos l v p amat valeant
Nicopolis v&#770;a(le),"Nicopolis, bye!",Latin,nicopolis v̂ale
[C]ypare va(le),"[C]ypare, bye!",Latin,cypare vale
QVA,Where? (How?),Latin,qva
venimus,,Latin,venimus
Quartila (:Quartilla) va(le),"Quartila, bye!",Latin,quartilla vale
X,10,Latin,x
"FV
L",(Individual letters),Latin,"fv, l"
At[r&#803;](---?),,Latin,atṛ
"Anus
vita(e) m=
eminit
scio
Aquiti
mortis 
t[a]e=
duisti",An old woman remembers life. I know: you were bothered by the death of Aquitius (?).,Latin,"anus, vitae m=, eminit, scio, aquiti, mortis , tae=, duisti"
"Qui mihi docendi
dederit mercedem,
abeat (:habeat) quod
petit a superis",May he who has given me payment for teaching have that which he asks from the gods.,Latin,"qui mihi docendi, dederit mercedem,, habeat quod, petit a superis"
"Mari
Victor[ius]
",,Latin,"mari, victorius, "
C(aius) T(---?) Lux,C. T. Lux,Latin,caius t lux
"Auctus
Popidi BIQV (:ubique)","Auctus (slave of ?) Popidius, everywhere",Latin,"auctus, popidi ubique"
"&#12296;:textus non legitur&#12297;
",(Incomprehensible series of characters),Latin,", "
"Quota s(unt?) capita dua
sella quadru&#770;a
equales di&#768;na vix
XI",,Latin,"quota sunt capita dua, sella quadrûa, equales dìna vix, xi"
Nicopolis va&#770;l&#770;e,"Nicopolis, Bye!",Latin,nicopolis vâl̂e
"Beronice
[h]abenda
futuere",,Latin,"beronice, habenda, futuere"
"Restitutus
((:nomen RESTITVTVS in forma navis scriptum)) 
",,Latin,"restitutus, nomen restitvtvs in forma navis scriptum , "
"Aelius Magnus Plotillae suae
rogo domina  salutem",,Latin,"aelius magnus plotillae suae, rogo domina salutem"
December bene futuis,,Latin,december bene futuis
"Scordopordonicus hic bene
fuit (:futuit) quem voluit",,Latin,"scordopordonicus hic bene, futuit quem voluit"
Hermeros hic futuit,,Latin,hermeros hic futuit
"Crescens. Eu=
ant&#770;il(lus?)
Paris, v&#770;a(le)",,Latin,"crescens. eu=, ant̂illus, paris, v̂ale"
Q(uinto) Postumio Modesto fil(i)c(iter) (:feliciter),,Latin,quinto postumio modesto filiciter feliciter
"Lucciae
cu[---]ma&#803;
[------]",,Latin,"lucciae, cu.mạ, "
Fructus,,Latin,fructus
"As(ses) IV
divitias
s(cripula?) III",,Latin,"asses iv, divitias, scripula iii"
"Sabidia
Abonius","Sabidia, Abonius",Latin,"sabidia, abonius"
Vi(c)torius,,Latin,victorius
Placidus hic futuìt quem voluìt,,Latin,placidus hic futuìt quem voluìt
IC (:nonaginta novem),,Latin,ic nonaginta novem
CVI (:centum sex),,Latin,cvi centum sex
"Vitalio
bene futues",,Latin,"vitalio, bene futues"
cor i&#7779;,,Latin,cor iṣ
"Felix futu[it]
cum
",,Latin,"felix futuit, cum, "
Vìctoria ìnvicta hic,,Latin,vìctoria ìnvicta hic
pedicare volo,,Latin,pedicare volo
"hic ego cum veni futui
deìnde redei (:redii) domì
",,Latin,"hic ego cum veni futui, deìnde redii domì, "
Prima cum suo hac,,Latin,prima cum suo hac
Faustus FO+[+5?+]A&#818;N&#818;N&#803;VS&#803;,Faustus (...other letters here),Latin,faustus fo5a̲n̲ṇvṣ
N(umeri) Popidi,,Latin,numeri popidi
"S[t]ano sis gemm(a)
[- - -]&#7746;O&#7770;[- - -]",,Latin,"stano sis gemma, aṃoṛ."
"Li(n)ge ((:phallus ad sin. versus)), Aspasia",,Latin,"linge phallus ad sin. versus, aspasia"
IIIIIIIII,9,Latin,iiiiiiiii
"Hormus
Ho
Hormus","Hormus
Ho(rmus)
Hormus",Latin,"hormus, ho, hormus"
"Verna Vernionis
Secundus
Secundus",,Latin,"verna vernionis, secundus, secundus"
in contra p(ondo?) VI ((scripula?)) VIII,,Latin,in contra pondo vi scripula viii
Lolius (:Lollius),,Latin,lollius
Memor,,Latin,memor
Pari(di?),,Latin,paridi
Marca,,Latin,marca
Fructus,,Latin,fructus
Her(meros?),,Latin,hermeros
"Bellicus hic futuit quendam
[l]&#7909;culentissimo (:luculentissime) fut[ui]
",,Latin,"bellicus hic futuit quendam, lluculentissime futui, "
Iulius Quintus,,Latin,iulius quintus
Facilis hic futuit,,Latin,facilis hic futuit
"VIIII K(alendas) Febr(uarias) 
tabulas positas
in muscario 
CCC VIIII  [S&#818;S&#818; C&#818;C&#818;C&#818;C&#818; X&#818;X&#818;X&#818;]",,Latin,"viiii kalendas februarias , tabulas positas, in muscario , ccc viiii s̲s̲ c̲c̲c̲c̲ x̲x̲x̲"
"Apsyrtus 
Lacene (:Lacenae)
u&#770;b&#770;i&#770;q(ue)","Apsyrtus: (Greetings) to Lacena, everywhere",Latin,"apsyrtus , lacenae, ûb̂îque"
"IIIIII
VIII III","6 (written vertically), 8, 3",Latin,"iiiiii, viii iii"
"Ver+++
felas (:fellas)
Fortuna sic",,Latin,"ver, fellas, fortuna sic"
"Menander
bellis moribus
aeris ass(ibus) II","Menander, with nice manners,(for) two bronze asses",Latin,"menander, bellis moribus, aeris assibus ii"
C(aius) Voconius,Gaius Voconius,Latin,caius voconius
vidimus hoc,,Latin,vidimus hoc
IL Poppai EINERI,,Latin,il poppai eineri
Iarinus,,Latin,iarinus
Pithia Prima cum Spartitundiolo hac modo,,Latin,pithia prima cum spartitundiolo hac modo
"Ibi et tu es
EGROTENE SOIP
HATS",,Latin,"ibi et tu es, egrotene soip, hats"
"Severus
Severus",,Latin,"severus, severus"
Elene (:Helene),,Latin,helene
XIX K(alendas) Fe&#803;bruarias,,Latin,xix kalendas fẹbruarias
Cadia,,Latin,cadia
"Myrtale
CCassa&#803;",,Latin,"myrtale, ccassạ"
Felicla (:Feliculam) ego f,,Latin,feliculam ego f
O(---?) Mucius,O(---?) Mucius,Latin,o mucius
"Corinthus Nolanus
[- - - - - -]",,Latin,"corinthus nolanus,   "
"Fortunate
[- - - - - -]
[- - - - - -]",,Latin,"fortunate,   ,   "
"Felix cum
Fortunat&#7841;",,Latin,"felix cum, fortunatạ"
Caius cum I,,Latin,caius cum i
Daphnicus cum Felicla (:Felicula) sua hic,Daphnicus with his Felicula (was) here,Latin,daphnicus cum felicula sua hic
"ubique fortis
hoc cum fe=
m[---]s a[---]
XVVI",,Latin,"ubique fortis, hoc cum fe=, mis a=, xvvi"
[- - -]r Feliculae s(alutem),(?)r (says) greetings to Felicula,Latin,accipiter feliculae salutem
Venis,(Translation uncertain without context),Latin,venis
"Salute&#803;(m) ven(ientis)
ven(ientis)
III",To the health of the one entering,Latin,"salutẹm venientis, venientis, iii"
DVS,DVS,Latin,dvs
XIIIIIIIIIIIIIIIIIIII,,Latin,xiiiiiiiiiiiiiiiiiiii
Quacumque +VT,Wherever . . .,Latin,quacumque vt
"Homini
M C M
",,Latin,"homini, m c m, "
"Ro
Ro","Ro(?), Ro(?)",Latin,"ro, ro"
"VCCXCII &#12296;:vacat&#12297; CXXCIVI
V CCXC
V CCCXIII V CCVXI
&#12296;:vacat&#12297; CC LXXIIX &#12296;:vacat&#12297; CCLXX","V 210, 102   120, 101, 6
V 290
V 313  V 205, 9
200 78  270",Latin,"vccxcii cxxcivi, v ccxc, v cccxiii v ccvxi, cc lxxiix cclxx"
C Piero&#803;,,Latin,c pierọ
I I I I I I I I I       I I I I I I I I       X X I I [---],,Latin,i i i i i i i i i    i i i i i i i i    x x i i .
"Fortuna=
te linge
culu (:culum)","Fortunatus, lick butt",Latin,"fortuna=, te linge, culum"
"Melisse v&#770;a(le)
hac(?)",,Latin,"melisse v̂ale, hac"
"Domine (:Dominae) V&#773;V&#773; I&#773;I&#773;I&#773;
Domino V&#773; 
Severo III((semis))
Domino VI VIII IIII","To the mistress (female head of the household) - 5, 5, 3
To the master - 5
To Severus - 3 1/2
 To the master - 6, 8, 4",Latin,"dominae v̅v̅ i̅i̅i̅, domino v̅ , severo iiisemis, domino vi viii iiii"
Cum quidam paup (:pauper),When a certain poor man...,Latin,cum quidam pauper
Chloe Acti Castresis (:Castrensis),,Latin,chloe acti castrensis
Fures for[as],,Latin,fures foras
Ionaei,,Latin,ionaei
"XNAXIIIDIIII
DII LX",(Incomprehensible series of letters),Latin,"xnaxiiidiiii, dii lx"
T&#803;(itus) I&#803;r&#803;r&#803;i&#803;u&#803;s&#803;,Titus Irrius,Latin,ṭitus ịṛṛịụṣ
A&#770; A&#770;cti,"Oh, Aulus Actius!",Latin,â âcti
"OPEVAL++L[- - -]
PLA[- - -]",,Latin,"opevall., pla."
&#12296;:litterae scriptae sunt retroversae&#12297; C D O E C AIO,(Series of letters written backwards),Latin, c d o e c aio
"Sodales, avete","Friends, hello!",Latin,"sodales, avete"
Gallus,Gallus,Latin,gallus
Lib&#803;era&#803;lis II,Liberalis - two,Latin,liḅerạlis ii
"XI K(alendas) Febr(uarias) Eupor
Omnes XX",,Latin,"xi kalendas februarias eupor, omnes xx"
"Accipe Mars vetors (:vecors)
",,Latin,"accipe mars vecors, "
PV+IIIDIS,,Latin,pviiidis
SRQ,,Latin,srq
Clleri genes&#803;[---]  (:Cllerigenes?),,Latin,clleri geneṣ: cllerigenes
"VIII 
",8,Latin,"viii , "
Coliatius (:Collatius?),Collatius,Latin,collatius
MO,MO,Latin,mo
"Mune&#803;r&#803;
",,Latin,"munẹṛ, "
"Commu=
nis",Communis,Latin,"commu=, nis"
"Sautran(e)
v&#770;a(le)","Bye, Saturanus(?)",Latin,"sautrane, v̂ale"
VIIII ((semis)),8.5,Latin,viiii semis
Blastus,Blastus,Latin,blastus
L(ucius) Atilius,Lucius Atilius,Latin,lucius atilius
